-390.7,-319.6
273.8,-224.6
-90.2,-122.6
6.8,330.5
35.5,-64.8
155.5,-17.4
-96.9,-77.3
-201.0,219.4
-40.6,121.9
319.6,162.5
-242.6,-380.2
-298.1,-61.9
-352.4,202.0
293.3,307.0
-246.2,354.9
-185.8,31.0
-334.8,202.5
95.3,0.6
141.8,-222.7
-261.6,-87.5
-18.9,161.7
-377.3,-91.3
186.6,-378.0
-61.7,91.0
327.7,-6.7
3.5,123.6
166.2,-317.8
91.9,-125.4
107.0,-80.4
227.9,213.7
43.5,-111.7
150.7,-165.1
348.2,-192.0
-312.5,-313.5
-28.8,-20.3
-217.5,-182.2
-367.8,377.2
-277.5,93.7
309.9,-94.9
350.0,288.3
-363.3,-203.7
-190.0,305.9
139.5,373.9
51.6,-349.5
247.4,100.1
243.6,-265.1
39.6,49.1
320.2,-25.6
-77.6,-191.7
214.3,-211.9
330.2,-269.4
187.2,75.4
-241.9,-204.2
262.5,98.2
-40.9,-203.7
-52.2,-300.6
94.8,323.8
-317.9,-257.8
-57.2,-234.7
-59.2,318.3
162.8,121.6
202.3,-291.3
47.7,319.7
283.0,-239.3
49.9,223.8
-232.8,-175.7
277.4,30.7
176.9,-143.4
-342.0,-114.8
-55.3,9.1
62.1,371.2
-75.2,247.3
-43.1,238.6
-17.3,197.3
-263.1,293.4
282.6,157.8
347.3,278.2
-341.6,-212.1
270.1,-346.6
231.2,-112.5
90.8,373.0
88.0,-9.5
-109.7,30.0
284.5,-275.9
305.4,-355.8
-18.0,-98.8
-270.3,-112.0
-197.8,281.3
-360.5,378.3
-335.5,348.7
41.2,262.8
103.8,-92.5
-213.3,128.0
90.6,-227.7
-56.9,-162.7
-360.3,247.9
368.2,-175.4
26.8,-242.8
-22.4,-180.5
325.2,-15.5
-303.4,-103.3
-233.1,54.1
171.6,-375.4
-195.1,-306.1
-168.5,-172.4
5.5,-341.8
-127.1,-57.4
-321.2,-266.9
-287.3,339.9
-286.1,113.7
309.7,162.2
-311.0,-79.2
-38.3,215.9
-180.3,275.5
-198.1,-53.4
277.9,111.2
18.1,-192.3
209.6,142.9
-111.1,208.5
-339.8,-51.0
233.2,-219.5
38.6,-179.5
-322.6,268.3
-324.8,-42.9
295.9,35.9
223.7,37.3
-49.4,-64.8
-358.0,-272.4
-282.0,165.3
292.7,5.7
-146.5,-191.1
213.0,384.9
-371.0,-371.2
-215.2,182.1
104.9,-391.8
-60.5,-103.7
-114.4,332.9
152.4,-107.3
31.3,106.4
291.8,-268.6
201.4,300.1
-133.5,-233.3
-332.9,363.1
-107.1,-34.4
-318.0,20.6
190.0,385.9
153.2,-124.8
-320.6,345.9
-293.8,-313.1
-335.2,54.3
33.2,348.6
284.5,-95.3
202.2,108.9
-215.2,373.0
104.8,319.1
361.0,359.2
306.6,348.5
119.1,103.6
-273.7,243.8
-287.4,-247.2
-134.4,213.2
-279.6,339.7
94.3,-251.0
-391.9,115.7
-165.2,-56.3
-281.9,14.7
116.0,17.2
53.5,-349.0
-384.9,377.6
-200.3,-356.1
-305.4,-147.1
-53.0,-152.5
118.9,-23.0
-316.7,-347.1
17.6,53.0
-73.3,244.5
-143.9,-49.2
-228.1,78.3
333.9,50.2
281.9,340.3
187.5,-144.7
-258.1,36.3
96.8,339.6
-274.7,-6.2
321.6,-144.8
-96.4,-88.6
125.9,-286.9
367.2,302.5
-36.5,372.3
-206.3,-28.7
135.0,-243.3
87.1,94.6
47.0,167.6
-121.1,272.4
390.9,145.1
-322.8,366.8
79.9,-223.4
366.4,0.9
-277.2,26.2
329.5,-226.1
